time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-16T02:29:00.920Z,51.5968,178.2744,119.2,4,mb,,187,0.678,1.24,us,us20002q59,2015-06-16T10:31:42.891Z,"42km SSW of Little Sitkin Island, Alaska",earthquake
2015-06-16T02:20:37.410Z,36.3095,-96.687,4.59,3.1,mb_lg,,42,0.138,0.44,us,us20002q56,2015-06-16T02:53:40.841Z,"10km ESE of Pawnee, Oklahoma",earthquake
2015-06-16T01:01:12.520Z,31.7775,137.6848,399.07,4.3,mb,,85,2.24,0.51,us,us20002q4x,2015-06-16T09:03:53.766Z,"246km SW of Hachijo-jima, Japan",earthquake
2015-06-15T22:09:53.210Z,-9.691,125.2188,46.62,4.9,mb,,116,0.94,0.91,us,us20002q3f,2015-06-16T06:12:35.972Z,"66km E of Leof, Indonesia",earthquake
2015-06-15T21:52:25.000Z,52.725,-163.479,1,2.6,ml,15,244.799980416002,,0.34,ak,ak11629001,2015-06-18T17:07:11.934Z,"218km SE of Akutan, Alaska",earthquake
2015-06-15T21:22:44.020Z,-3.1342,137.52,54.63,4.7,mb,,147,5.268,0.68,us,us20002q2u,2015-06-16T05:25:18.206Z,"156km NE of Enarotali, Indonesia",earthquake
2015-06-15T21:13:39.000Z,63.2394,-150.622,129.8,4.4,mb,,,,0.74,ak,ak11626289,2015-06-18T17:06:59.990Z,"91km W of Cantwell, Alaska",earthquake
2015-06-15T21:04:24.800Z,4.1861,125.8827,143.34,5.4,mb,,23,2.88,1.07,us,us20002q2b,2015-06-17T21:50:00.000Z,"142km SSE of Sarangani, Philippines",earthquake
2015-06-15T20:18:57.510Z,-29.4088,-179.0308,307.52,4.9,mb,,98,0.975,1.18,us,us20002q1y,2015-06-16T04:21:24.243Z,"110km W of Raoul Island, New Zealand",earthquake
2015-06-15T19:49:06.680Z,37.0357,-97.9008,5,3.4,mb_lg,,23,0.076,0.56,us,us20002q1i,2015-06-17T20:56:06.203Z,"17km SE of Anthony, Kansas",earthquake
2015-06-15T19:35:46.200Z,36.8469,-97.8803,5,2.8,ml,,67,,0.52,us,us20002q24,2015-06-16T03:38:24.481Z,"13km WNW of Medford, Oklahoma",earthquake
2015-06-15T19:33:15.100Z,18.5855,-63.991,66,3,Md,6,288,0.35393622,0.15,pr,pr15166000,2015-06-16T03:35:49.556Z,"68km ENE of Road Town, British Virgin Islands",earthquake
2015-06-15T18:17:02.430Z,36.4023,71.3718,107.26,4.3,mb,,115,0.964,0.63,us,us20002pz7,2015-06-16T02:19:32.643Z,"34km SSW of Ashkasham, Afghanistan",earthquake
2015-06-15T17:40:53.590Z,-9.7303,125.2921,23.36,5.7,mwb,,63,1.01,1.46,us,us20002pyz,2015-06-17T19:14:02.000Z,"75km ESE of Leof, Indonesia",earthquake
2015-06-15T16:44:43.000Z,36.7069,-97.9369,6.331,2.5,ml,,165,,0.41,us,us20002q28,2015-06-17T18:37:31.950Z,"21km WSW of Medford, Oklahoma",earthquake
2015-06-15T15:47:20.200Z,18.4048,-67.3876,17,2.8,Md,6,176.4,0.08983153,0.03,pr,pr15166001,2015-06-17T18:25:22.040Z,"16km WNW of Rincon, Puerto Rico",earthquake
2015-06-15T15:45:44.270Z,-5.3115,152.3276,53.75,4.4,mb,,97,6.542,1.12,us,us20002pya,2015-06-15T23:48:18.117Z,"106km S of Kokopo, Papua New Guinea",earthquake
2015-06-15T14:21:17.360Z,36.7959,71.1629,97.71,4.3,mb,,86,0.573,0.91,us,us20002pxw,2015-06-15T22:23:55.448Z,"30km ESE of Jarm, Afghanistan",earthquake
2015-06-15T13:38:01.110Z,31.4343,-41.1293,10,4.8,mb,,94,23.32,0.83,us,us20002pxt,2015-06-15T21:40:45.475Z,"Northern Mid-Atlantic Ridge",earthquake
2015-06-15T13:30:56.000Z,51.7434,178.5306,90.1,2.7,ml,11,230.399981568002,,0.44,ak,ak11628963,2015-06-18T16:44:49.997Z,"22km S of Little Sitkin Island, Alaska",earthquake
2015-06-15T10:25:44.700Z,36.4856,-98.1785,5,2.9,mb_lg,,71,0.158,0.77,us,us20002px7,2015-06-15T18:28:14.117Z,"10km SE of Helena, Oklahoma",earthquake
2015-06-15T05:51:35.100Z,47.6748333,-120.3326667,5.04,2.82,ml,22,50,0.0707,0.13,uw,uw61026892,2015-06-16T00:10:35.541Z,"9km W of Entiat, Washington",earthquake
2015-06-15T05:09:01.000Z,51.8122,178.487,92.4,2.9,ml,,,,0.46,ak,ak11626034,2015-06-18T16:44:31.603Z,"15km S of Little Sitkin Island, Alaska",earthquake
2015-06-15T05:01:16.500Z,-31.9661,-68.3219,104.36,4.5,mb,,66,0.52,1.26,us,us20002pvp,2015-06-15T13:03:44.187Z,"33km S of Nueve de Julio, Argentina",earthquake
2015-06-15T04:27:01.000Z,51.5163,-173.1094,30.4,2.6,ml,7,316.799974656002,,0.44,ak,ak11628932,2015-06-18T16:43:53.159Z,"106km SE of Atka, Alaska",earthquake
2015-06-15T04:13:08.940Z,53.8488,-164.0361,37.8,3.6,mb,,195,1.064,1.47,us,us20002pvd,2015-06-18T16:43:34.942Z,"118km ESE of Akutan, Alaska",earthquake
2015-06-15T03:55:56.000Z,57.2737,-150.9915,11.6,3.3,ml,,,,1,ak,ak11626008,2015-06-18T16:45:09.919Z,"102km ESE of Kodiak, Alaska",earthquake
